2025-05-20 12:24:13,741 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:20,060 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:20,228 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 120.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:20,965 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 130.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:21,941 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 140.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:24,649 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 150.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:25,405 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 160.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:25,629 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 170.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:25,816 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 180.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:25,980 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 190.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:26,320 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 200.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:26,770 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 210.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:26,942 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 220.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:27,182 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:24:40,826 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.31, 'fee_tier': 'VIP0'}
2025-05-20 12:24:40,966 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.32, 'fee_tier': 'VIP0'}
2025-05-20 12:24:41,297 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.33, 'fee_tier': 'VIP0'}
2025-05-20 12:24:41,484 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.34, 'fee_tier': 'VIP0'}
2025-05-20 12:24:41,673 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.35, 'fee_tier': 'VIP0'}
2025-05-20 12:24:41,987 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.36, 'fee_tier': 'VIP0'}
2025-05-20 12:24:42,189 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.37, 'fee_tier': 'VIP0'}
2025-05-20 12:24:42,393 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.38, 'fee_tier': 'VIP0'}
2025-05-20 12:24:42,571 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.39, 'fee_tier': 'VIP0'}
2025-05-20 12:24:42,768 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.4, 'fee_tier': 'VIP0'}
2025-05-20 12:24:42,932 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.41, 'fee_tier': 'VIP0'}
2025-05-20 12:24:43,150 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.42, 'fee_tier': 'VIP0'}
2025-05-20 12:24:43,373 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.43, 'fee_tier': 'VIP0'}
2025-05-20 12:24:43,607 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.44, 'fee_tier': 'VIP0'}
2025-05-20 12:24:43,778 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.45, 'fee_tier': 'VIP0'}
2025-05-20 12:24:43,989 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.46, 'fee_tier': 'VIP0'}
2025-05-20 12:24:44,200 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.47, 'fee_tier': 'VIP0'}
2025-05-20 12:24:44,417 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.48, 'fee_tier': 'VIP0'}
2025-05-20 12:24:44,705 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.49, 'fee_tier': 'VIP0'}
2025-05-20 12:24:44,921 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.5, 'fee_tier': 'VIP0'}
2025-05-20 12:24:45,490 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.51, 'fee_tier': 'VIP0'}
2025-05-20 12:24:45,941 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.52, 'fee_tier': 'VIP0'}
2025-05-20 12:24:46,149 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.53, 'fee_tier': 'VIP0'}
2025-05-20 12:24:46,344 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.54, 'fee_tier': 'VIP0'}
2025-05-20 12:24:46,547 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.55, 'fee_tier': 'VIP0'}
2025-05-20 12:24:49,181 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.55, 'fee_tier': 'VIP5'}
2025-05-20 12:24:52,732 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 230.0, 'volatility': 0.55, 'fee_tier': 'VIP0'}
